ORDER_ID,Count of USER_ID
fbaff82305594334,2
f2e8de6c9ee93149,2
f03eae9ea4272521,2
7d09de332e342684,2
f70af54bc5183051,2
815caec5eb998020,2
fede5c24b0797422,2
833086c869925765,2
f225b26c8ed43632,2
844a97334cd107082,2
f419f9ba0df20651,2
8f17d3f0be035984,2
f9d114e5bbe61482,2
91ac9f734b261993,2
fcb7fb4f0fa81154,2
a170b9765e691428,2
ef06b84c1df99474,2
a4423107e2e83156,2
f183820f4fb42443,2
a4d2df47bbd41301,2
f2bff88d2085179,2
a6a25e392b124142,2
f38faf022b25230,2
ad246c8d18d27169,2
f5b481bbb3265810,2
add88586a5827183,2
f888cc34b3b92551,2
afd1b1daa8f96939,2
fa68c4e8ba915122,2
b75b1ec3d3175005,2
fc07b9ccf6242020,2
b7f9941a1a277888,2
fdc31453b51102190,2
b96dc8369ee20299,2
eeecef521e358882,2
bba1775558290507,2
ef6803c0689104602,2
c1acb5f724095913,2
f0b2d2a7b3f29472,2
c1acb5f724095914,2
f1ce5fc7872106314,2
c279edc461299046,2
f2834cfcefa99132,2
c4a6b8699b5106325,2
f2d14b5d31779690,2
c6ae92bfd8a67910,2
f36bdf9ce7c56916,2
c9918422a9982483,2
f3e1bed4ace61098,2
cd4e316ffa949024,2
f46730d231a73274,2
cd4e316ffa949025,2
f609e8f9e4293909,2
d65671153a166716,2
f7fe3434c5782622,2
d8be4b1d08b99862,2
f8d857ace8767915,2
da48cd808b991671,2
fa029ddef9c38956,2
dab4e97af2095826,2
fb26e69e0c859280,2
e44ebe4eed936564,2
fbeda2bb44e8358,2
e45770836b313082,2
fc629d3dc5474356,2
e4f2373fbcb100655,2
fd9f554a76a67265,2
e50a8bb713289334,2
fe4c3daa5a083419,2
e61a2591f1c99841,2
7a5f67e18fa77291,2
e629d97e58e52042,2
eef626bc178481,2
e62e454c43a63814,2
ef5390b5c3e90067,2
e682e793d79105330,2
efe89b3265852435,2
e69954d5e4f101813,2
f06e1a4f98f44425,2
e6ef83e624f71059,2
f14414fded880106,2
e7128a9f4e629201,2
f18a2155b0e97517,2
e73554ddfe927104,2
f21ab9355c571571,2
e7bd4116aa718562,2
f240912718d74411,2
e7d9f734d7f6714,2
f28b830630316352,2
e8cc55cca9311608,2
f2c837f2c7926688,2
e9372233a6056336,2
f2d17cd140264273,2
e9c728601a366660,2
f343a3756c474119,2
e9e88f519b773427,2
f38bb24531037431,2
ea1e3aeee3b9432,2
f3be08322fa71954,2
ea20cba734d92278,2
f404ef0cf9f86493,2
eaa9d13102897676,2
f440774b7f746547,2
eb31a2513bc103067,2
f47b051bd7983108,2
ebf67b1104273075,2
f5b68d4ffc483865,2
ebf86737d2165253,2
f6bd132828e71704,2
ec05ae9d84737090,2
f7a8867a2e974429,2
ec1486f928355512,2
f82546fbac851208,2
ec21fb7726e6954,2
f8b8868060282010,2
ec69f18750c13231,2
f8e9ab7667433931,2
ec7e016928819702,2
f9f79885a0c20722,2
ece866d9e3b11413,2
fa0867509e13974,2
ecfebc36a3197942,2
faeed02734f17950,2
ed03850d24734842,2
fba5524539894589,2
ed23f9aed5e92461,2
fbb5220308668297,2
ed2c17e3ea888232,2
fbf94eb1bc732385,2
ed3f72753a552234,2
fc4afe0b63e9140,2
edfcb8b582b39938,2
fc848001f4117053,2
edfcea07fb74452,2
fd433d0794388662,2
ee215f894a260392,2
fdbaf08293639583,2
ee528da3ed756715,2
fe46937234d46760,2
ee58e6c2e791136,2
fecc9d6766231653,2
ee8e7c4961170394,2
fef061c2a1499684,2
eea8dd9fb5b67900,2
eed571de3da20556,2
Grand Total,290
